Department,Level,Course Code,Course Title,Unit,Lecturer,Day,Time,Lecture Hall
Exceptional Building Halls (Dekagon),300 Level,FRN 101,Basic French (Grammar),2,Mr Roger,Thursday,8am – 10am,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,CSC 101,Introduction To Computer,2,Eng Raymond,Thursday,10am – 12pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,CSS 121,Introduction To Sociology,2,Mr Bello,Tuesday,8am – 10am,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,GNS 101,Use Of English,2,Mrs Archibong,Monday,8am – 10am,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,GNS 111,Benin People And Culture,2,Mr Apata,Thursday,1pm – 3pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,BUS 105,Element Of Management,3,Mr Emeka,Friday,10am – 12pm,BENIN (AB)
Exceptional Building Halls (Dekagon),300 Level,HRM 102,Introduction To Human Resource Management,3,Mr Robert,Friday,3pm – 5pm,NIGERIA  (AB)
Exceptional Building Halls (Dekagon),300 Level,MTH 104,Business Mathematics,3,Mr Bello,Wednesday,10am – 12pm,NIGERIA  (AB)
Exceptional Building Halls (Dekagon),300 Level,ECO 121,"Principles	Of Economics",3,Mr Emeka,Friday,8am – 10am,NIGERIA  (AB)
Exceptional Building Halls (Dekagon),300 Level,ACC 101,Principles Of Accounting,3,Mr Quazeem,Thursday,3pm – 5pm,BURUNDI (EB)
Exceptional Building Halls (Dekagon),300 Level,FRN 101,Basic French (Grammar),2,Mr Roger,Thursday,8am – 10am,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,CSC 101,Introduction To Computer,2,Eng Raymond,Thursday,10am – 12pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,CSS 121,Introduction To Sociology,2,Mr Bello,Tuesday,8am – 10am,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,GNS 101,Use Of English,2,Mrs Archibong,Monday,8am – 10am,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,GNS 111,Benin People And Culture,2,Mr Apata,Thursday,1pm – 3pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,BUS 105,Element Of Management,3,Mr Emeka,Friday,10am – 12pm,BENIN (AB)
Exceptional Building Halls (Dekagon),300 Level,HRM 102,Introduction To Human Resource Management,3,Mr Robert,Friday,3pm – 5pm,NIGERIA  (AB)
Exceptional Building Halls (Dekagon),300 Level,MTH 104,Business Mathematics,3,Mr Bello,Wednesday,8am – 10pm,NIGERIA  (AB)
Exceptional Building Halls (Dekagon),300 Level,ECO 121,"Principles	Of Economics",3,Mr Emeka,Friday,8am – 10am,NIGERIA  (AB)
Exceptional Building Halls (Dekagon),300 Level,ACC 101,Principles Of Accounting,3,Mr Quazeem,Thursday,3pm – 5pm,BURUNDI (EB)
Exceptional Building Halls (Dekagon),300 Level,FRN 101,Basic French (Grammar),2,Mr Roger,Thursday,8am – 10am,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,CSC 101,Introduction To Computer,2,Eng Raymond,Thursday,10am – 12pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,CSS 121,Introduction To Sociology,2,Mr Bello,Tuesday,8am – 10am,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,GNS 101,Use Of English,2,Mrs Archibong,Monday,8am – 10am,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,GNS 111,Benin People And Culture,2,Mr Apata,Thursday,1pm – 3pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,BUS 105,Element Of Management,3,Mr Emeka,Friday,10am – 12pm,BENIN (AB)
Exceptional Building Halls (Dekagon),300 Level,HRM 102,"Introduction To Human Resource
Management",3,Mr Robert,Friday,3pm – 5pm,NIGERIA  (AB)
Exceptional Building Halls (Dekagon),300 Level,MTH 104,Business Mathematics,3,Mr Bello,Wednesday,8am – 10am,NIGERIA  (AB)
Exceptional Building Halls (Dekagon),300 Level,ECO 121,"Principles	Of Economics",3,Mr Emeka,Friday,8am – 10am,NIGERIA  (AB)
Exceptional Building Halls (Dekagon),300 Level,ACC 101,Principles Of Accounting,3,Mr Quazeem,Thursday,3pm – 5pm,BURUNDI (EB)
Exceptional Building Halls (Dekagon),300 Level,FRN 101,Basic French (Grammar),2,Mr Roger,Thursday,8am – 10am,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,CSC 101,Introduction To Computer,2,Eng Raymond,Thursday,10am – 12pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,CSS 121,Introduction To Sociology,2,Mr Bello,Tuesday,8am – 10am,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,GNS 101,Use Of English,2,Mrs Archibong,Monday,8am – 10am,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,GNS 111,Benin People And Culture,2,Mr Apata,Thursday,1pm – 3pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,BUS 105,Element Of Management,3,Mr Emeka,Friday,10am – 12pm,BENIN (AB)
Exceptional Building Halls (Dekagon),300 Level,HRM 102,"Introduction To Human Resource
Management",3,Mr Robert,Friday,3pm – 5pm,NIGERIA  (AB)
Exceptional Building Halls (Dekagon),300 Level,MTH 104,Business Mathematics,3,Mr Bello,Wednesday,8am – 10am,NIGERIA  (AB)
Exceptional Building Halls (Dekagon),300 Level,ECO 121,"Principles	Of Economics",3,Mr Emeka,Friday,8am – 10am,NIGERIA  (AB)
Exceptional Building Halls (Dekagon),300 Level,ACC 101,Principles Of Accounting,3,Mr Quazeem,Thursday,3pm – 5pm,BURUNDI (EB)
Exceptional Building Halls (Dekagon),300 Level,FRN 101,Basic French (Grammar),2,Mr Roger,Thursday,8am – 10am,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,CSC 101,Introduction To Computer,2,Eng Raymond,Thursday,10am – 12pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,CSS 121,Introduction To Sociology,2,Mr Bello,Tuesday,8am – 10am,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,GNS 101,Use Of English,2,Mrs Archibong,Monday,8am – 10am,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,GNS 111,Benin People And Culture,2,Mr Apata,Thursday,1pm – 3pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,BUS 105,Element Of Management,3,Mr Emeka,Friday,10am – 12pm,BENIN (AB)
Exceptional Building Halls (Dekagon),300 Level,HRM 102,"Introduction To Human Resource
Management",3,Mr Robert,Friday,3pm – 5pm,NIGERIA  (AB)
Exceptional Building Halls (Dekagon),300 Level,MTH 104,Business Mathematics,3,Mr Bello,Wednesday,10am – 12pm,NIGERIA  (AB)
Exceptional Building Halls (Dekagon),300 Level,ECO 121,"Principles	Of Economics",3,Mr Emeka,Friday,8am – 10am,NIGERIA  (AB)
Exceptional Building Halls (Dekagon),300 Level,ACC 101,Principles Of Accounting,3,Mr Quazeem,Thursday,3pm – 5pm,BURUNDI (EB)
Exceptional Building Halls (Dekagon),300 Level,FRN 101,Basic French (Grammar),2,Mr Roger,Thursday,8am – 10am,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,CSC 101,Introduction To Computer,2,Eng Raymond,Thursday,10am – 12pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,CSS 121,Introduction To Sociology,2,Mr Bello,Tuesday,8am – 10am,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,GNS 101,Use Of English,2,Mrs Archibong,Monday,8am – 10am,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,GNS 111,Benin People And Culture,2,Mr Apata,Thursday,1pm – 3pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,BUS 105,Element Of Management,3,Mr Emeka,Friday,10am – 12pm,BENIN (AB)
Exceptional Building Halls (Dekagon),300 Level,HRM 102,"Introduction To Human Resource
Management",3,Mr Robert,Friday,3pm – 5pm,NIGERIA  (AB)
Exceptional Building Halls (Dekagon),300 Level,MTH 104,Business Mathematics,3,Mr Bello,Wednesday,10am – 12pm,NIGERIA  (AB)
Exceptional Building Halls (Dekagon),300 Level,ECO 121,"Principles	Of Economics",3,Mr Emeka,Friday,8am – 10am,NIGERIA  (AB)
Exceptional Building Halls (Dekagon),300 Level,ACC 101,Principles Of Accounting,3,Mr Quazeem,Thursday,3pm – 5pm,BURUNDI (EB)
Exceptional Building Halls (Dekagon),300 Level,FRN 101,Basic French (Grammar),2,Mr Roger,Thursday,8am – 10am,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,CSC 101,Introduction To Computer,2,Eng Raymond,Thursday,10am – 12pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,CSS 121,Introduction To Sociology,2,Mr Bello,Tuesday,8am – 10am,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,GNS 101,Use Of English,2,Mrs Archibong,Monday,8am – 10am,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,GNS 111,Benin People And Culture,2,Mr Apata,Thursday,1pm – 3pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,CSC 112,Introduction To Basic Programming,3,Mr Tunde,Thursday,3pm – 5pm,BOTSWANA (EB)
Exceptional Building Halls (Dekagon),300 Level,MTH 115,Vector Geometry,3,Mr Godwin,Friday,8am – 10am,TUNISIA (AB)
Exceptional Building Halls (Dekagon),300 Level,PHY 111,General Physics,3,Mr Godwin,Friday,1pm – 3pm,NIGERIA (AB)
